Average particle radius (µm), 5.112917647058824, 0.11535781793692876
Escaping voltage (V), 3.0
Escaping force (pN), 0.49533378228299907
Stiffness (pN/µm), 0.14586548736988383
Rsquared, 0.8854564832460142


Time (s), Voltage (V), EF gradient (V^2/m^3), DEP force (pN), Offset (µm)
0.5, 0.0, 0.0, 0.0, 0.2719532680443462
1.0, 0.0, 0.0, 0.0, 0.1923
1.5, 0.0, 0.0, 0.0, 0.3846
2.0, 0.0, 0.0, 0.0, 0.3846
2.5, 0.25, 36012063525.82867, 0.005067990572923899, 0.1923
3.0, 0.25, 36109883571.94367, 0.005690954685180183, 0.1923
3.5, 0.25, 36109883571.94367, 0.005690954685180183, 0.1923
4.0, 0.25, 36027490801.941505, 0.005677969500125942, 0.3846
4.5, 0.5, 147335599331.15857, 0.025897004662079486, 0.42999587207320955
5.0, 0.5, 146865609819.9975, 0.02066844976880118, 0.2719532680443462
5.5, 0.5, 140953246173.39218, 0.019836400719370758, 0.42999587207320955
6.0, 0.5, 144439534287.7747, 0.022763818740720733, 0.1923
6.5, 0.75, 325687367847.89325, 0.051328663197298806, 0.0
7.0, 0.75, 318549790548.83374, 0.04482962589329219, 0.1923
7.5, 0.75, 319420601582.9629, 0.0503410144067598, 0.1923
8.0, 0.75, 305679662774.3201, 0.04301840821100692, 0.6081059940503794
8.5, 1.0, 544587781525.4494, 0.07664003316335948, 0.5769
9.0, 1.0, 544587781525.4494, 0.07664003316335948, 0.5769
9.5, 1.0, 544587781525.4494, 0.07664003316335948, 0.5769
10.0, 1.0, 544587781525.4494, 0.07664003316335948, 0.5769
10.5, 1.25, 834347663779.3181, 0.1174180449710112, 0.7692
11.0, 1.25, 836680273520.8853, 0.1318616692049119, 0.7692
11.5, 1.25, 816312418660.2273, 0.11487993847849189, 0.9805414524638925
12.0, 1.25, 834347663779.3181, 0.1174180449710112, 0.7692
12.5, 1.5, 1204819593870.0747, 0.18988080365507315, 0.7692
13.0, 1.5, 1202270388120.6458, 0.1894790462145016, 0.7928732118062761
13.5, 1.5, 1202270388120.6458, 0.1894790462145016, 0.7928732118062761
14.0, 1.5, 1178804835440.1863, 0.18578085104582592, 0.9805414524638925
14.5, 1.75, 1599972340574.0444, 0.22516467941784396, 0.9805414524638925
15.0, 1.75, 1604484359349.1406, 0.25286838059015165, 0.9805414524638925
15.5, 1.75, 1604484359349.1406, 0.25286838059015165, 0.9805414524638925
16.0, 1.75, 1568594395398.9514, 0.220748849976939, 1.1697152345763475
16.5, 2.0, 2008447883841.5393, 0.28264958863624723, 1.359766340221731
17.0, 2.0, 1935351322197.5588, 0.30501335327171797, 1.7413505620638254
17.5, 2.0, 1939391083782.773, 0.3056500238407211, 1.7307
18.0, 2.0, 1859036360519.7327, 0.2929860370427836, 2.1240229236051102
18.5, 2.25, 2298849617656.6367, 0.32351792844354804, 2.3155986375017585
19.0, 2.25, 2314974653753.4844, 0.3648423796660453, 2.3155986375017585
19.5, 2.25, 2308076865515.348, 0.32481648233309235, 2.3155986375017585
20.0, 2.25, 2310502226723.488, 0.36413752057920346, 2.3076
20.5, 2.5, 2786721240942.341, 0.3921762763839729, 2.4999
21.0, 2.5, 2795134504505.2095, 0.4405160645957324, 2.4999
21.5, 2.5, 2663767585784.1514, 0.37487296454233626, 2.910027046266065
22.0, 2.5, 2671981672988.0283, 0.42110705204326726, 2.910027046266065
22.5, 2.75, 3174347171785.0986, 0.5002803698789797, 3.082803517903793
23.0, 2.75, 3184576792779.0757, 0.5597493099002101, 3.082803517903793
23.5, 2.75, 3109652676059.1387, 0.4900844510019917, 3.2747509981676473
24.0, 2.75, 3046058946393.5703, 0.4800620139850653, 3.4667375513586256
24.5, 3.0, 3576443651134.273, 0.6286272857852468, 3.6587570266416978
25.0, 3.0, 3330842842220.6943, 0.468750703834517, 4.2306
25.5, 3.0, 3142960398905.949, 0.49533378228299907, 4.81134446282949
