Average particle radius (µm), 7.185866400000001, 0.35544697876200887
Escaping voltage (V), 8.25
Escaping force (pN), 143.17158977140133
Stiffness (pN/µm), 8.289120982425093
Rsquared, 0.8869501523343278


Time (s), Voltage (V), EF gradient (V^2/m^3), DEP force (pN), Offset (µm)
0.5, 0.5, 133988259027.66689, 0.21168425012385256, 0.6081059940503794
1.0, 0.5, 135637291916.43774, 0.19861624169067224, 0.42999587207320955
1.5, 0.5, 138018763436.26688, 0.18695227324510286, 0.6081059940503794
2.0, 0.5, 135035193286.66107, 0.10922919519508596, 0.6081059940503794
2.5, 0.75, 301473582812.25037, 0.47628956277866813, 0.6081059940503794
3.0, 0.75, 298361472577.6887, 0.40414327848193365, 0.1923
3.5, 0.75, 303829184894.98737, 0.24576568918894337, 0.6081059940503794
4.0, 0.75, 310542217731.6005, 0.42064261480148146, 0.6081059940503794
4.5, 1.0, 580292769517.4685, 0.6683385159298826, 1.1538
5.0, 1.0, 552075053745.0675, 0.7478090929804114, 0.6081059940503794
5.5, 1.0, 552075053745.0675, 0.7478090929804114, 0.6081059940503794
6.0, 1.0, 533030488395.07275, 0.7805265853936055, 0.2719532680443462
6.5, 1.25, 847733074477.736, 1.2413515105667017, 0.42999587207320955
7.0, 1.25, 866056426863.0201, 1.2681827406400727, 0.6081059940503794
7.5, 1.25, 900349108559.5707, 1.3183981604544075, 0.9805414524638925
8.0, 1.25, 899557486091.5422, 1.317238972761877, 0.9615
8.5, 1.5, 1299619151729.6648, 1.3755046538639248, 1.1697152345763475
9.0, 1.5, 1291429288745.916, 1.7492957859881377, 0.9805414524638925
9.5, 1.5, 1296502716325.7817, 1.898493351054347, 0.9805414524638925
10.0, 1.5, 1290292156337.4949, 1.7477554918756406, 0.9615
10.5, 1.75, 1763132672739.4226, 2.5817883866132783, 0.9615
11.0, 1.75, 1673754904972.805, 2.6443179015941114, 0.6933475102717251
11.5, 1.75, 1695989126517.3613, 2.4834688270291374, 0.5769
12.0, 1.75, 1674679073032.9536, 1.7724645374912964, 0.9615
12.5, 2.0, 2215169471369.615, 3.243714386323772, 0.5769
13.0, 2.0, 2172375823725.1125, 3.1810508419305212, 0.3846
13.5, 2.0, 2295874291103.85, 3.1098591750900217, 0.9805414524638925
14.0, 2.0, 2144807250048.0557, 2.270043766403236, 0.8599917441464191
14.5, 2.25, 2997754684631.7637, 3.4525932809995745, 1.359766340221731
15.0, 2.25, 2905715899678.3096, 3.9359155184733083, 0.9805414524638925
15.5, 2.25, 2905715899678.3096, 3.9359155184733083, 0.9805414524638925
16.0, 2.25, 2905715899678.3096, 3.9359155184733083, 0.9805414524638925
16.5, 2.5, 3499213501699.166, 5.953383232858845, 0.9615
17.0, 2.5, 3668419087328.827, 5.371735175311905, 1.1538
17.5, 2.5, 3657393555982.367, 4.954094808700658, 1.1697152345763475
18.0, 2.5, 3447453060704.14, 4.669721496976334, 0.5769
18.5, 2.75, 4425446202738.661, 5.994454718527792, 1.1697152345763475
19.0, 2.75, 4442708061380.737, 6.505541106083954, 1.1697152345763475
19.5, 2.75, 4216452195260.5576, 6.661453231902219, 0.9615
20.0, 2.75, 4431471644176.614, 6.002616434703802, 1.2899876162196287
20.5, 3.0, 4825816312608.128, 5.107598474407284, 0.8599917441464191
21.0, 3.0, 5538437698751.372, 6.378765041707415, 1.7413505620638254
21.5, 3.0, 5348987931574.69, 6.688344256691552, 1.359766340221731
22.0, 3.0, 5452949454132.749, 6.818337156509781, 1.550372164997811
22.5, 3.25, 6301362458192.847, 8.535462909320252, 1.359766340221731
23.0, 3.25, 6408433944864.66, 8.013069559666146, 1.643011920224561
23.5, 3.25, 6126043610401.109, 6.483746784329377, 1.5019110126768496
